label	text_a
4	[ 抓狂 ] [ 抓狂 ] [ 抓狂 ] 我 各种 抓狂 ， 我 既然 不 知道 跟 我 联系 的 是 湖南 广电 的 导演 [ 抓狂 ] [ 抓狂 ] ， 丫头 你 怎么 不 告诉 我 [ 泪 ]
2	今天 突然 有 一种 厌烦 的 心情 ， 相亲 变得 越来越 没 耐心 。
2	不是 拿到 比赛 录像 和 战术 图纸 的 秘密武器 了 么 。 。
1	哈 。 。
3	呵呵 ， 等底 的 人 永远 抄 不 到底 。
1	格兰阁 国际 酒业 音乐 品鉴 会 设计 策划 基本 完成 , 一切 就绪 就 等 20 号 晚 隆重开幕 了 !
1	其实 纵观 历史 ， 许多 知名 的 学府 ， 都 是 由 位高权重 且 具有 相应 学识 的 官员 担任 首席 教师 ( 包括 孔子 本身 就是 鲁国 的 宰相 ) ， 我 觉得 这 其实 是 一种 好 的 现象 ， 因为 这能 充公 促进 我国 精英教育 的 发展 。
0	摒弃 这些 ， 你 就 会 轻松 许多 ！
0	不要 怀疑 我 ， 表面 要求 完美 的 天秤座 其实 很 自卑 的 ， 所以 请 你 如果 你 真的 喜欢 天秤座 ， 请 率直 地 告诉 他 你 喜欢 他 。
1	梳 小辫子 的 美人 ！
0	我 的 超级 无敌 详细 的 台湾 攻略 写 完 了 ， 简直 要 了 老命 了 。 。 。
1	被 sxzj 刷屏 的 感觉 真 好 ， 哈哈 ， 新 CM 好帅 ， 花絮 好萌 ...
0	是 吗 ? 你 哪里 的 ?
3	于是 又 蛋 疼 地 试装 ( 还是 手机 渣 像素 ) q 皿 q ! ! ! ! ~
2	刁民 就 只有 买 山寨 货 的 命 ！
1	哈哈 ， 周兄 何必 把 精力 用 在 这样 的 人 身上 ， 不如 与 同 好 之 人 一评 。
0	真的 想 走 了   可是 这帮 老 wbd 的 又 开始 加州 旅店 了   哈   走 不了 啊
0	你 要是 春晚 导演 和 CCTV 你 怎么弄 ?
3	我想 做点 事情 ， 和 你 做 点 能 让 你 高兴 的 事情 ， 我 却 没 时间 和 你 旅游 ， 甚至 没有 合照 。
0	/ / @ 流连忘返 520 :   又 是 临时工 [ 晕 ]
1	这 对 我们 来说 是 太大 的 鼓励 ！
1	一个 曾经 的 老战士 ， 永远 祝福 您 ！
0	… 越姐 又 圈 错 了 …
1	买 吧 买 吧 ， 这款 满 好看 的 ， 背上 有 淡红 的 边纹
3	摄影师 伤不起 ， 日本 佳能 更伤 不起
4	政府 为什么 不 在 地铁站 做 几个 厕所 ？
3	」 我 压力 很大 诶
0	到 纳斯达克 上市 ， 我 感觉 自己 更 像 一个 旅行者 ， 走到 了 这 一站 但 这个 地方 不是 我 的 家 ， 我 只是 到 这里 来 ， 证明 自己 做 了 一些 想 做 的 事情
1	/ / @ 漆晓慧 - 小 7 : 庆幸 我长 得 胖 ， 我 爹弹 不 起来 我 。
3	昨天 00 : 50 ， 患 狂犬病 的 女孩 ， 她 的 生命 还是 走到 了 尽头 ， 很 年轻 ， 14 岁 ， 那 女孩 是 那么 的 懂事 、 听话 ， 学习成绩 也 是 一等一 的 好 。
1	祝 奶奶 身体健康 ！
3	看样子 中午 买 是 木有 希望 了 ， 哎
1	情真意切 字字 滴血 口牙 ！ ！ ！
1	今天 的 中国 足球 ， 让 人 开心 痛快 得意洋洋 。
1	返回 的 时候 给 副券 就 好 了 ！ ！ ！
0	/ / @ 刘旗辉 :   啥意思 ？
0	不过 床 是不是 太小 了 呢 ？
4	昨天 虚惊一场 ， 临 下降 突然 下落 ， 强烈 失重 感堪 比 跳楼 机 ！
4	日妈 的 都 是 些 哈皮
1	这些 人 不 一定 选 总统 ， 但 通过 这种 方式 ， 让 观众 知道 治理 国家 还有 其它 选择 ， 听到 不同 声音 ， 好玩 。
1	欢迎 你 ， 2011 ， 新年快乐 ！
1	[ 鼓掌 ]   录音 很 好玩 哈哈 .
1	哪里 吃 的 哇 ？
0	还是 另 有 他 图 ？ ！
4	/ / @ 单线程 布丁 : 靠 ！
2	吓死 你 呀 ! ! !
3	药 已经 为 他 的 罪恶 得到 了 应有 的 惩罚 ， 这 事儿 到此为止 吧 ， 就别 再 往 他 父母 的 伤口 上 撒盐 了 。
0	《 我 的 祖宗 十八代 》 。
0	他 说 我 单身 没 女儿 。
0	前来 参加 法会 的 有 ： 安县 县委 领导 ； 安县 统战部 副 部长 、 安县 民族宗教 局局长 朱孝军 ；
1	（ 转 ） 提前 祝 大家 中秋 快乐 ！
2	刚才 ， 2 逼 小 阿 Sir 又 想 去 床上 拉屎 ， 被 我 发现 ， 让 我 一个 飞脚 踹 到 沙盆里 ， 然后 他 晕 了 一会儿 ， 淡定 地 在 沙盆 里拉 了 一泡 干干的 屎 ............
0	扩 ！
0	现在 升格 为 联队长 了 ， 相当于 正 师级 。
0	老板 叮嘱 我 赶快 送 过去 ， 路上 不要 耽搁 ！
1	好 呀 ， 不过 现在 他俩 可玩 不到 一起 去 了 ， 不是 一个 重量级 啊 ， 哈哈
3	好久 该 你 吧
2	他们 欠 举报 的 ..
1	这 也 是 我 比较 喜欢 《 职来 职往 》 的 原因
4	这 孩子 曾经 品学兼优 得奖 不少 ， 这是 一时 糊涂 ！
2	这年头 ， 什么 鸟 都 出来 了 ， 不能 用 鸟 的 人 都 当鸟 了
0	我儿 名字 早想 好 了 。 叫 李 猜 。
2	萎 疯狗 真有 面儿 ， 你 丫 面子 当屁 垫 ！
0	不 骗人 ， 我 第一次 看到 他 的 波西 的 时候 ， 感觉 就 像 画家 第一次 见到 道 林 一样 震惊 ， 当然 现在 我 看到 球球 ， 就 有 伯爵 告诫 道 林 时间 会 夺走 他 的 美貌 时候 的 体会 了 … … … …
3	不得 ！ 凹爷 ！ 你 不要 我 了 吗 ！
1	尼玛 ， 你们 太有 才 了
3	以后 不要 叫 我 吃 夜宵 不要 叫 我 喝酒 了 伤不起 ！ ！
1	给力 啊 ， 给力 ~
1	真多 吃 的 啊
2	我 也 是 啊 ， 难不成 女生 要 被 宽容 些 ？
0	女性 的 高跟鞋 后 跟 超过 7 厘米 会 导致 你 的 重心 前移 ， 身体 的 重量 会压 在 前 脚掌 导致 骨头 变形 。
2	小心 有 毛虫 啊 ！
2	打死 他们 也 不会 吃 。
0	还 不 忘 离开 前 对 每 一区 歌迷 比赞 !
3	感叹 那 衣服 设计 的 如此 好看 ， 进而 很 悲情 地 想到 我 买得起 这样 的 服装 的 时候 应该 也 没 身材 穿 了 。
0	南京 的 山 么 ？ 哪 一座 啊 ？
0	可惜 渐渐 这些 年 也 没人 戴 了 。
1	大家 节日快乐 ， 今天 是 满 快乐 的
0	12 、 感情 细腻 敏感 。
3	自娱自乐 啊 ！
1	一个 人 一眼 能够 望 到底 ， 不是 因为 他 太 简单 ， 不够 深刻 ， 而是 因为 他 太 简单 ， 太 纯净 。
3	好 啊 ！ 你们 正在 准备 装 了 ？
1	在 新加坡 也 可以 吃 到 这么 辣 的 水 煮 牛肉 啊 ？ 马哥 你好 幸福 ~ ！
1	婚礼 就 用 这个 了 ， 哈哈
4	归根结底 还是 我们 自己 有 问题 。
0	作为 一个 巨星 ， 这 需要 一个 爱 她 、 了解 她 、 尊重 她 的 创作 团队 来 完成 。
1	哟 西 这 是 哪位 好莱坞 巨星 哟
3	这快 。 你 不 爱 我 。
0	这种 权力 无 限制 下 的 工作 会 激发 人 的 兽性 。
0	酒美 联欢 ！
0	那些 丧偶 的 老头 ， 儿女 都 不 在 身边 ， 可想 找个 伴 了 。
1	嘿嘿 、
3	确实 ！ 东大桥 是 个 必堵 的 地方 ！
2	你 要 打 啊 ?
1	§ 我 喜欢 你 ， 不在乎 你 有 多 富有 ， 也 不在乎 你 的 外表 有 多 帅气 迷人 ， 我 只在乎 你 那颗 为 我 痴狂 ， 爱 我 如初 的 心 而已 。
1	[ 蛋糕 ] [ 蛋糕 ] [ 蛋糕 ] 都 忙 忘记 了 ， 不然 今天 应该 穿 漂亮 点 的 。 [ 可爱 ] [ 可爱 ] [ 可爱 ]
3	现在 呢 ， 图中 这 寥寥 十数 根 ， 就是 十块钱 的 肉 ， 算 开胃菜 么 ?
2	我 只 关心 做 的 是不是 坏事 , 写些 狗屁不通 的 文章 供 有关 部门 强奸 网友 , 做 这种 事 的 人 就 该 被 人 唾骂 , 管 他 是 出于 什么 理由
5	变化 要 不要 那么 大 ~ ~ ~
1	风景 还 美着 ， 想来 的 要 抓紧 了 。
1	是 啊 ， 正式 倒计时
0	我 不想 说 后面 的 ， 这样 显得 我 很 流氓 ， 你 懂 就 对 了 。
3	我 修行 还 不够
1	/ / @ 天为 棋盘 - 星为子 ： 班长 用 独特 挑选 了 一个 最 优秀 的 士兵
1	我 也 是 步步 看 完才 稀饭 这 镯子 的 。
0	快 我点 给 你 的 兄妹 播出 啦
2	还 把 那 桌布 也 带 去 了 ！
0	而法 无心 之 法 ， 心 无法 之心 ， 即 有 即空 ， 即空 即 有 ， 次第 体悟 ， 廓然 至 道 ， 入世 即 出世 。
2	这 发型 ， 我 咋 瞅 着 有点 梦露 的 感觉
4	我 本来 不想 骂 投行 ， 想忍 了 。
0	（ 没有 歧视 外地人 的 意思 。
3	此情可待 成 追忆 ， 只是 当时 已 惘然
0	我们 不 应该 去 荷兰 么 ~ [ 害羞 ]
0	参加 这个 会 ， 是因为 我 的 母亲 王佩英 。
3	加班 加班 加班 ， 感觉 项目 快到 最后 了 ， 总 感觉 很多 都 不 到位 ， 可是 时间 紧迫 ， tat 。
1	武则天 。 你 真会 改名字 。
1	是 啊 ， 好怀念 啊
4	蛋 你 妹 ~ ~ ！
4	( ノ = Д = ) ノ ┻ ━ ┻   你妹 的 会 不会 说话 啊 ！ ！ ！ ！ ！
4	特别 想 说 日本 地震 的 民族 表现 不是 日本 人民 素质 高 ， 而是 平时 的 准备 充足 ， 预案 得到 ， 演练 真实 ， 就 如同 在 水边 长大 的 人会 游泳 ， 在 山里 长大 的 的 人会 辨别方向 ， 做 售前 的 知道 自带 投影仪 讲标 ， 做 销售 的 知道 如何 应对 讨价还价 ， 我 只 想 说 是 环境 决定 了 一切 ， 别 tmd 整出 素质 这种 不靠 谱 的 词汇 ， 尤其 是 日本 人 的 素质
1	[ 哈哈 ] [ 哈哈 ] [ 哈哈 ] @ 大帅 行天下 @ love 涵蓉
4	忙 着 怎么 杀 你
5	原来 宝马 M3 皮卡 真的 来 了 ！
1	· 我 是 食神 [ 嘻嘻 ]
3	没 作出贡献 ， 惭愧 哈
1	你 给 我 啵 ！
3	哎 。 神马 时候 出来 咯 ？ 你 又 不 回 我 信息 了
2	人渣 到处 从生 , 一定 要 把 司机 人 肉 出来 , 为 他 的 禽兽行为 付出 应有 的 代价 , 让 他 受到 法律 的 制裁 ! ! ! ! ! !
0	昨天 去 聚会 ， 喝 的 不少 ， 叫 同事 过来 帮 开车 ， 她 是 新手 并 叮嘱 她 ： 一定 要慢 ， 注意 看 反光镜 ...
1	呵呵 ！ 要 请 也 不该 由 你 请 啊 ！
4	MB 俩 坑 爹 的 货 ！ ！ ！ ！
1	争取 都 救上来 。
3	恶心 死 了 ， 不 喜欢 ， 又 不帅 。
0	和 北师大 4000 万 教授 属于 一大 类
2	看来 我 想 多 了 ， 还 以为 蟑螂 了 。
1	谢谢 乐乐 [ 爱 你 ] [ 爱 你 ]
4	但别 觉得 我 是 怕 你们 才 忍气吞声 。
1	我 喜欢 说 借 我 kao （ copy ） 一下 。 。 。
1	无比 羡慕 可惜 我住 不了 赤坂 啊 …
1	以前 那些 拆迁 后 回迁 的 可 真是 享福 了 ！
3	妈妈 病 了 ， 周二 晚上 输液 一直 到 周三 上午 ， 虽然 陪 在 观察室 里 ， 但 什么 也 做不了 。
1	很行 ！ ！ ！
4	中关村 百代 健身 明天 关门 ， 老板 卷 钱 跑 了 ， 大家 帮忙 人肉 他 ， 讨个 说法 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！
5	意外 的 是 当值 的 大堂 经理 非常高兴 地说 ， 哇 哦 ！
1	先由 日本 十家 漫画 出版社 共同 筛选 ， 最后 再 由 评审团 进行 最后 决选 （ 果然 是 过五关斩六将 啊 ， 恭喜 恭喜 [ 给力 ]
1	验收 咯 [ 鼓掌 ] 家里 几台 电视 开 几台 呗 ， 第一次 这么 冲 收视率 啊 ， 这 可是 硬指标 ， 能 用 电视 看 就 别用 电脑 了 呗 ， 拼 收视 也 是 为了 他 [ 耶 ]
1	总之 做 完 这期 花火 A 和 《 花火村 · 小狮绘 》 之后 ， 我 和 @ 宅女 雪人   都 恨不得 含笑九泉 … …
2	其实 近 两个 月 盈江 已 先后 发生 1200 多次 5 级 以下 的 地震 ， 可 新闻媒体 从来 没 关注 过 ， 恩 ， 两会 什么 的 可 重要 了 ， 即使 说些 没 可行性 的 提案 那 也 是 高贵 的 政治 ， 远比 不足 五级 的 地震 重要 是 吗 ？
1	据说 今年 本 岛上 的 滑雪场 雪降 冠 全国 ， 美不胜收 ， 乐不思蜀 。
1	sm 有米 有 ！ ！ ！ ！
4	我 再 没法 见 他 ， 因为 那个 我 亲自 介绍 的 泼妇 。
0	2   长阴 巨量 密集 成交 区 形成 很强 的 压力 ， 所以 在 15 分钟 图 明显 看出 急跌 抛筹 情况 ，   3   短期 均线 有力 上 挺 、 量 能 完美 ， 结构 上 此波 初次 急跌 大 力度 收回 也 属 正常 。
1	唉 ， 最近 一直 在 变帅 。 真 困扰
4	我 的 生命 就 浪费 在 北京 这 mother   fucker 路况 上 了 ， 谁他妈 赔 我 被 赌车 糟蹋 的 生命 ， cao ! ! ! ! ! !
0	此外 ， 无 性生活 的 夫妻 比例 也 愈来愈多 ， 超过 40% ， 专家 质疑 年轻 男女 是否 有 「 草食 化 」 的 倾向 。
2	你 看 我 空间 , 我 就 把 空间 设 密码 , 然后 看 我 人人 .
1	/ / @ 治愈 系 心理学 : 据说 心情 不好 的 人 ， 会 喜欢 唯美 英文 的 微博 哦 ~ ~ 值得一看   [ 心 ]
2	我 了 个 去 这 谁 ？ ？
1	挨 摆 不会 嘛 胸大 未必 有奶 哎 哈哈
1	还有 一丝 不舍 的 离绪 ， 便是 我要 向 所有 给予 关心 和 帮助 的 领导 和 同事 表达 的 感恩 之情 ！
2	七期 地下 每天 一个 抢 车位 广告 一个 直接 说 你 占用 了 私家车 位 的 单子 ， 有 这 功夫 物业 干 点 正事 ！
1	爱死 阳光 啦 ！
3	一切 都 还 来得及 。 不早 也 不晚
1	甚至 别人 觉得 是 牺牲 的 事 ， 他 也 会 感到 满意 、 快乐 ； 他 的 心 随时 都 在 欢跃 ， 他 有 说 不尽 的 欢乐 ！
0	绿城 的 球迷 们 ， 你们 看看 ， 报纸 上 有没有 你 自己 ！ ！
2	下午 要 不要 上班 ， [ 思考 ] [ 思考 ] 怕 被叫 去 验尸 。
3	我特 强大 了 ， 可怜 的 我 呀 ， 本来 单鞋 就 不 多 ， 这下 好 了 ， 日子 怎么 过 呀 [ 泪 ]
3	都 说 我 是 吃货 ， 原来 我 是从 js 走 出来 的 迷路 的 孩子 。
0	上海 結束 之 後 就 直接 去 成都 拍戲
1	新年快乐 ~ ~ [ 心 ] [ 咖啡 ]
4	清清 脑子 看看 自己 是不是 真的 穿越 了 [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]   [ 晕 ]
0	花卉 .
2	难道 人 除了 那 点破 事 就 不会 有 别的 关系 吗 ？
4	他 吃 的 是 特供 的 ， 我 tm 吃 有毒 的 。
0	单身 有 单身 的 好 ， 缘分 未到 急 都 无用 ， 随遇而安 。
2	这 衣服 真 可爱
3	竟然 都 不要 吃 榴莲 ！ ！ ！
1	哈哈 ~ 您 的 旁白 好 贴切 ！ 好 幽默 ！
1	[ 抓狂 ]   上善若水 003 : 你 有 才 ， 是 个 人才 ） ， 把 他们 在 官场 的 那 一套 权威 用来 教育 学生 ， 肯定 能 起到 比 老师 好 十倍 的 效果 。
2	今年 更巧 鲜花 和 牛粪 正好 落 一堆 …
1	等 你好 。 。 。 开吃
1	啊 ？ 我 每个 月 可以 休息 14 天 姐姐 呀 期待 期待
1	哈 ， 兔子 ， 你 申请 了 没 ？
1	她 好像 不太 愿意 理 你
3	家家 有本 难念 的 经 。 。 。
0	[ 可怜 ] 送 了 周笔畅 还 可以 见 小胖 啊
0	对 了 ， 世界末日 哦 已经 过 了 啦 ~ [ 挖 鼻屎 ]
0	人 要是 没有 它 ， 不尽 什么 职责 ， 就 等于 驾驶 空车 一样 ， 也就是说 ， 白白浪费 。 ( by 罗佐夫 )
3	我 昨晚 基本上 没 睡着 啊
4	我 就 晓得 请 同学 恰饭 不能 请 伢子 现在 哈来 怀疑 ! ! !
1	我们 一起 加油 、 加油 、 再 加油 ！ ！ ！
1	哈哈 ， 有 道理 ！ 有空 聚聚 ！
3	这次 圆满 之后 我 吃素 一个月 中 不 ？
1	祝 奶奶 身体健康 ！
1	"我 是 "" 韩庚 三岁 半 生日快乐 "" ,   我 已经 将 名字 改为 "" 三庚 你 等 春晚 韩庚 开场 "" , 请 继续 关注 我 哦 ~"
3	年前 的 大扫除 ， 腰酸背疼 啊 ， 手 也 被 各种 洗涤剂 泡 的 皱皱巴巴 的 ， 真 悲惨 啊 。
2	撒腿就跑 ， 他 竟然 说 ： 厦门 来 的 小姑娘 … [ 吐 ]
1	[ 鼓掌 ] [ 鼓掌 ] 呵呵 …
3	太 喜欢 这 哥们 了 ， 中国 教育 本来 就是 洗脑 教育 。
0	更 有 机会 获得 10 元 指定 特效 除臭 袜 代金券 ！
2	你老 豆甘 黑仲 上网 ， 唔 系挂 ~
1	双 J 出来 的 时候   我 拼了命 的 在 下面 喊 & quot ; 羅   志   祥 & quot ;   就 差冲 到 台上 把 周杰伦 拉 下来 了   我 都 替 自己 感到 骄傲
3	然而 现在 看惯 了 声色犬马 、 花言巧语 、 同床异梦 ， 才 发现 两个 人 即使 日夜 相处 、 耳鬓厮磨 、 依然 能 情投意合 才 最 难得 ， 和 一个 女人 上 不够 床 ， 男人 最大 的 本事 就是 爱家 。
2	过去 二十年 里大卖 的 游戏 都 有 社交性 ？
3	而 时光流逝 中 我 成长 ， 成熟 ， 越来越 容易 跟 那个 ＂ 真实 ＂ 的 世界 失之交臂 。
4	如果 这 就是 你们 所谓 的 民族 自豪感 ， 这 就是 你们 的 爱国 ， 我耻于 与 你们 为伍 ， 耻于 承认 你们 也 他妈的 配叫 中国 人 。
4	正是 旺季 ， 真是 添乱 ， 全市 散货 市场 鸡飞狗跳 ， 民生 艰难 啊 。
2	桌子 一拍 挑起 ： 地产 去年 跌 了 一年 ， 这 几天 刚涨 ， 你们 就让 鸡精 砸 ， 鸡精 筹码 砸 光 了 ， 又 让 我 造谣 ， 你们 太黑 了 ， 比 开发商 黑多 了 ！
0	-   下次 我 先传 音乐台 好 了 ， 再也 不先传 优酷 了 ， 等 了 一个 小时 的 审核 ， 又 被 莫名其妙 的 屏蔽 了 ， 还好 第二个 传 56 预备 了
1	他 贫穷 ， 粗茶淡饭 ， 衣着 简陋 ， 一生 没有 任何 积蓄 。
2	该死 的 人贩子 ~ ~   祈祷 孩子 早点 被 找到 ~
2	又 跟 我 告白
0	严惩 肇事 司机
0	你家 猫 不是 小帅哥 呀 ， 那个 今晚 看 ！
1	咋个 拍 出来 的 哦   [ good ] [ 花心 ]
1	谢谢 霄 妹妹 的 晚餐 。
0	再 返回 去 寻找 已然 不见 … …
0	明显 无法 淡定 迈 ， 过年 时候 不能 再 吓 我 了
1	叔叔 生日快乐 哟 ！ ！
0	楼上 一套 房子 租给 三户 打工仔 。
1	中国 足球 的 乌鸦嘴 、 在 演播室 和 现场 评论 席上 历经 过 多次 惨败 的 @ 徐阳   徐 连长 ， 终于 破天荒 地 在 面对 东亚 强敌 的 时候 把 中国 足球 说 赢 了 ， 而且 更加 破天荒 地 连续 说 赢 了 ！
5	阿 ！ ！ ！ ！ ！ ！
2	做到 最后 一点 ， 前面 皆 可 实现 ！
0	@ 天使 的 童话世界 @ 5 乐一乐 @ 飞天 的 兔子
1	哈哈 让 做 公益事业 吧
3	拿 只 猫猫 给 我 买 ， 吓 一下 我家 的 耗 鸡鸡
4	你 过份 了 哼 ！ 我 去 看 一凡
1	你 在 求 包养 吗 ？ 哈哈哈
1	是 啊 ！ 真的 很 莫名 耶
1	同 喜欢 只 看见 你 ， 与其说是 给 歌迷 的 歌 ， 我 更 希望 这 首歌 是 送 爱人 的 。
0	主持人 问 都 有 哪个 男明星 跟 她 合作 过 ， 哪个 和 她 最配 ，
3	都 谁 阿 哈哈
3	我 不 了解 我 的 寂寞 来自 何方 ， 但 我 真的 感到 寂寞 。
1	抵到 暴 啊 ！
5	当时 我 还 在 想 卧槽 这
1	自强不息 、 热爱祖国 、 厚德载物 的 精神 永不 过时 ！
1	呀呀 呀呀 ， 今天 和 阿哲 逛星 天地 ， 阿哲 叫 我试 一条 李维斯 的 休闲 裙子 ， 店员 夸 我 腿 长 ， 很 好看 。
2	家有 设备 ， 啥 都 不怕
1	木 人 开会 吖 ？
1	你 不 懂 , 上网 跟 你 聊天 我 也 会 开心 地 大笑 。
2	在 奔驰 活动 当 道具 ， 真 悲哀 啊 。
1	是 真不错 ！ ！
0	是 这期 你们 的 芭莎 珠宝 吗 ？
1	好 动听 。
3	只是 ， 她 的 生命 很 短暂 的 ...
1	他重 友情 ， 重然诺 ， 是 个 正人君子 。
1	天气 好 的 时候 可以 和 老公 去 西湖 边 走走   就 很 开心 了
0	杨 奎松 ， 著名 学者 ， 中国 现当代 研究 专家 。
3	I   miss   u   .... ! !
1	/ / @ 随心 随性 是 为 禅 也 :   真爱 啊 [ 衰 ]
2	还是 大学 教育 的 跟 社会 需求 脱节 造成 的 ？
1	赚头 喝 可口可乐   抽 中南海 10 毫克   弟兄们 群居 不基 的   哈哈
1	大家 节日快乐 ， 今天 是 满 快乐 的
5	@ Chenmaoyun123   又 要 考试 ， 紧张 中 [ 汗 ]
3	家宝 一脸 愧疚 的 说 ： 妈咪 ， 我 太 对不起 你 了 !
4	[ 汗 ] 靠 ！
0	这招 适用 于 卖房子 ， 就 骗 你 一次 。 和 亲人 吃饭 就 只能 使 一次 了
5	吓死 爹 了 ， 这个 外地 男子 一下子把 手机 砸 在 苹果 柜台 上 ， 大吼 为什么 不 给 他 修 。
1	各位朋友 ， 我 今天 要 去 南方 ， 上午 请 人 将 我 录制 的 《 文成公主 》 这支 歌上 传给 大家 ， 希望 你们 喜欢 ！
3	我 感觉 我 更 郁闷 啊 。
3	神马 都 不靠 谱 ， 谁 都 靠不住 哇 ！ 有木有 ！
2	你会 自拍 是不是 鸟 不 几嘛 ！
2	印度 很 烦躁 ！
1	天呀 ！ ！ ！
1	miele 冰箱 还 真 强大 ~ 我 打算 带回 洗洗 把 它 吃掉 ， 来 支持 下 miele 冰箱 的 强大 ！
1	哟 ， 生活 好 不错 哦
1	[ 嘻嘻 ]   今天 开始 一直 到 明天 ， 会 把 月光 森林 的 吟游 诗人 和 2 位 小熊 bb 拍摄 完成 哦 ~ ~
4	有 网友 用 手机 拍下 了 当时 情况 ， 只见 该 男子 从 包里 拿出 了 纸巾 ， 在 背包 的 掩护 下 开始 “ 打 飞机 ” ！ [ 怒 ]   via
4	靠 。 。 。 。
0	眼镜 控 怎么 可以 没有 不带 眼镜 的 照片 呢   ？
1	[ 哈哈 ] 喜欢 夕阳 的 来 冒个 泡 ！
1	呃 ？ 你 说 的 是 我 么 ？ 呵呵
3	我 是 那个 郁闷 的 50 ， 唉
0	真正 的 关心 ， 不是 你 认为 好 的 就 要求 他 改变 ， 而是 他 的 改变 你 是 第一个 发现 的 ；
0	其实 不 只 我 一个 还有 两个 同学 的 夜 不见 了 ， ap1009238 , 周杏康 ， 短号 685688 ， 长号 13750385688 ！
0	令人难忘 。
1	安得 与 君 相诀 绝 ， 免教 生死 作 相思 。
3	浪费 我 的 好多 表情 , 现在 只有 5w 的 积分 了 ....
2	唉 。 。 。 。 。
4	那 叫安 替 不 叫 仙后 好 吧 [ 汗 ] 可怜 多少 妹纸 以为 自己 觉得 俊秀 可爱 有 多 大 罪过 似的 [ 鄙视 ] 仙后 泥煤 举个 tvxq2 以为 自己 血统 多 纯正 别人 都 是 麻瓜 了 tvxq 才 不 22 的 就是 你 你 全家 都 2 [ 怒 ] [ 怒 ] [ 怒 ] [ 怒 ] [ 怒 ] [ 怒 ] [ 怒 ]
4	肿 你 妹 啊
1	离哥 对 离嫂 的 爱 真 不如 应哥 的 深 啊 ， 不过 小 夫妻俩 的确 太萌 了 。
0	我们 天津 京剧 表演艺术家 刘桂娟 老师 明确 告诉 我 支持 女排 ！
1	每天 要 被 海扁 一次 才 心满意足 回家 ， 嗯 ， 为了 身 ， 更为 了 肾 ， 那 就让 海扁 来 的 更 猛烈 些 把 ！
2	你 丫用 自个儿 的 照片 当头 像 我 能 看不出来 么 ！ ！ ！ ！ ！
1	你们 会 一直 幸福 的 ， 这是 一生一世 的 爱 。 [ 赞 ]
0	/ / @ 墨舞 潇湘 : 治标不治本 哦 , 是 一种 不 自信 的 体现 , 玩 小孩 游戏 呗 .
